Hotel ID,Place Name,lat,long,distance,Rating,Number of Ratings,Place Type,Hotel Name,Hotel Address
3501,Hampton Inn & Suites Conroe - I-45 North,30.338311299999997,-95.47755579999999,1613.4161297158416,4.1,647,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Conroe Near The Woodlands®,3010 Interstate 45 North Conroe
3501,Conroe VA Clinic,30.2825722,-95.4719197,7814.10924477187,3.1,149,"hospital,health,point_of_interest,establishment",Fairfield Inn & Suites Houston Conroe Near The Woodlands®,3010 Interstate 45 North Conroe
3501,Montgomery County Tax Office,30.312880399999997,-95.45905359999999,4905.840875947565,3.9,187,"accounting,local_government_office,finance,point_of_interest,establishment",Fairfield Inn & Suites Houston Conroe Near The Woodlands®,3010 Interstate 45 North Conroe
3501,Montgomery County Courthouse,30.311734599999998,-95.45760659999999,5082.47323004856,3.2,50,"courthouse,local_government_office,point_of_interest,establishment",Fairfield Inn & Suites Houston Conroe Near The Woodlands®,3010 Interstate 45 North Conroe
3501,Fairfield Inn & Suites Houston Conroe Near The Woodlands®,30.352324,-95.4819846,2.3962619240852585,4.1,584,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Conroe Near The Woodlands®,3010 Interstate 45 North Conroe
3501,"Motel 6 Conroe, TX",30.2973182,-95.4672947,6275.060660775407,3.0,1180,"motel,hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Conroe Near The Woodlands®,3010 Interstate 45 North Conroe
3501,TownePlace Suites by Marriott Houston Conroe,30.3463954,-95.4858474,753.8954478263653,4.7,216,"hotel,extended_stay_hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Conroe Near The Woodlands®,3010 Interstate 45 North Conroe
3502,Memorial City Mall,29.780700200000002,-95.5379007,3825.1167425814274,4.5,22319,"shopping_mall,point_of_interest,establishment",Fairfield Inn & Suites Houston East Energy Corridor,11080 Katy Freeway Houston
3502,CITYCENTRE,29.781022800000002,-95.55926679999999,1803.6438434096046,4.6,8013,"shopping_mall,point_of_interest,establishment",Fairfield Inn & Suites Houston East Energy Corridor,11080 Katy Freeway Houston
3502,Consulado General de México en Houston,29.7272805,-95.5601282,6726.187202602017,3.8,1430,"embassy,point_of_interest,establishment",Fairfield Inn & Suites Houston East Energy Corridor,11080 Katy Freeway Houston
3502,Houston Marriott Westchase,29.734323000000003,-95.55009299999999,6304.231694832818,4.2,2800,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston East Energy Corridor,11080 Katy Freeway Houston
3502,Consulado General de Honduras en Houston,29.7300684,-95.5721477,6232.453717919572,3.1,2157,"embassy,point_of_interest,establishment",Fairfield Inn & Suites Houston East Energy Corridor,11080 Katy Freeway Houston
3502,Hong Kong City Mall,29.7021584,-95.5774017,9317.811456746194,4.0,2421,"shopping_mall,gift_shop,insurance_agency,dentist,coffee_shop,cafe,grocery_store,health,store,restaurant,food,point_of_interest,establishment",Fairfield Inn & Suites Houston East Energy Corridor,11080 Katy Freeway Houston
3502,HCA Houston Healthcare West,29.7288889,-95.59446790000001,6563.92342819656,3.8,2529,"hospital,health,point_of_interest,establishment",Fairfield Inn & Suites Houston East Energy Corridor,11080 Katy Freeway Houston
3502,Hyatt Regency Houston West,29.7863977,-95.61901979999999,4048.5353045526767,4.1,3325,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston East Energy Corridor,11080 Katy Freeway Houston
3502,Houston Community College - Alief Hayes Campus,29.733601899999996,-95.57483669999999,5825.393398910051,3.7,261,"university,point_of_interest,establishment",Fairfield Inn & Suites Houston East Energy Corridor,11080 Katy Freeway Houston
3502,Social Security Administration,29.736392799999997,-95.62463129999999,7172.750724633314,2.7,699,"local_government_office,point_of_interest,establishment",Fairfield Inn & Suites Houston East Energy Corridor,11080 Katy Freeway Houston
3502,Memorial Hermann Memorial City Hospital Heliport,29.7806955,-95.5451721,3133.5416498415325,4.1,94,"heliport,airport,point_of_interest,establishment",Fairfield Inn & Suites Houston East Energy Corridor,11080 Katy Freeway Houston
3502,"The Westin Houston, Memorial City",29.782439099999998,-95.54481969999999,3136.9221467567504,4.5,1598,"hotel,wedding_venue,lodging,event_venue,point_of_interest,establishment",Fairfield Inn & Suites Houston East Energy Corridor,11080 Katy Freeway Houston
3502,Seismique,29.739995,-95.6460929,8396.76655015332,4.4,4074,"museum,point_of_interest,establishment",Fairfield Inn & Suites Houston East Energy Corridor,11080 Katy Freeway Houston
3502,Club Westside,29.7501635,-95.5736313,3993.6583592054694,4.5,370,"fitness_center,amusement_park,gym,sports_complex,athletic_field,sports_club,health,point_of_interest,establishment",Fairfield Inn & Suites Houston East Energy Corridor,11080 Katy Freeway Houston
3502,"K1 Speed - Indoor Go Karts, Corporate Event Venue, Team Building Activities",29.8700648,-95.5449964,9851.090958401866,4.2,2321,"tourist_attraction,amusement_center,bar,event_venue,restaurant,food,point_of_interest,establishment",Fairfield Inn & Suites Houston East Energy Corridor,11080 Katy Freeway Houston
3502,Hilton Houston Westchase,29.735933300000003,-95.54649040000001,6296.938081911518,3.9,2103,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston East Energy Corridor,11080 Katy Freeway Houston
3502,The Moran CITYCENTRE,29.780272699999998,-95.5613547,1643.0923975503672,4.4,1644,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston East Energy Corridor,11080 Katy Freeway Houston
3502,Hotel ZaZa Houston Memorial City,29.782643299999997,-95.53405049999999,4168.05589527832,4.5,1124,"hotel,spa,wedding_venue,swimming_pool,sports_complex,lodging,event_venue,restaurant,food,point_of_interest,establishment",Fairfield Inn & Suites Houston East Energy Corridor,11080 Katy Freeway Houston
3502,Bear Creek Pioneers Park,29.825233200000003,-95.62701949999999,6503.92932991172,4.6,3908,"park,tourist_attraction,point_of_interest,establishment",Fairfield Inn & Suites Houston East Energy Corridor,11080 Katy Freeway Houston
3502,Houston Community College - Spring Branch Campus,29.786395100000004,-95.56071229999999,1579.4552453156045,3.5,195,"university,point_of_interest,establishment",Fairfield Inn & Suites Houston East Energy Corridor,11080 Katy Freeway Houston
3503,Houston Methodist West Hospital,29.7872016,-95.69825420000001,4628.543231935986,3.1,645,"hospital,health,point_of_interest,establishment",Fairfield Inn & Suites Houston Energy Corridor/Katy Freeway,15111 Katy Freeway Houston
3503,CITYCENTRE,29.781022800000002,-95.55926679999999,8804.765999748242,4.6,8013,"shopping_mall,point_of_interest,establishment",Fairfield Inn & Suites Houston Energy Corridor/Katy Freeway,15111 Katy Freeway Houston
3503,Texas Children's Hospital West Campus,29.787800299999994,-95.6928635,4116.415937314521,2.6,1183,"hospital,health,point_of_interest,establishment",Fairfield Inn & Suites Houston Energy Corridor/Katy Freeway,15111 Katy Freeway Houston
3503,Consulado General de Honduras en Houston,29.7300684,-95.5721477,9645.844804156864,3.1,2157,"embassy,point_of_interest,establishment",Fairfield Inn & Suites Houston Energy Corridor/Katy Freeway,15111 Katy Freeway Houston
3503,Hyatt Regency Houston West,29.7863977,-95.61901979999999,3043.893604202096,4.1,3325,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Energy Corridor/Katy Freeway,15111 Katy Freeway Houston
3503,HCA Houston Healthcare West,29.7288889,-95.59446790000001,8167.467514867364,3.8,2529,"hospital,health,point_of_interest,establishment",Fairfield Inn & Suites Houston Energy Corridor/Katy Freeway,15111 Katy Freeway Houston
3503,Social Security Administration,29.736392799999997,-95.62463129999999,5847.76860142884,2.7,699,"local_government_office,point_of_interest,establishment",Fairfield Inn & Suites Houston Energy Corridor/Katy Freeway,15111 Katy Freeway Houston
3503,Houston Community College - Alief Hayes Campus,29.733601899999996,-95.57483669999999,9199.381534093707,3.7,261,"university,point_of_interest,establishment",Fairfield Inn & Suites Houston Energy Corridor/Katy Freeway,15111 Katy Freeway Houston
3503,Seismique,29.739995,-95.6460929,4908.076062241628,4.4,4074,"museum,point_of_interest,establishment",Fairfield Inn & Suites Houston Energy Corridor/Katy Freeway,15111 Katy Freeway Houston
3503,Club Westside,29.7501635,-95.5736313,8312.249499381718,4.5,370,"fitness_center,amusement_park,gym,sports_complex,athletic_field,sports_club,health,point_of_interest,establishment",Fairfield Inn & Suites Houston Energy Corridor/Katy Freeway,15111 Katy Freeway Houston
3503,Bear Creek Pioneers Park,29.825233200000003,-95.62701949999999,5114.1264808769,4.6,3908,"park,tourist_attraction,point_of_interest,establishment",Fairfield Inn & Suites Houston Energy Corridor/Katy Freeway,15111 Katy Freeway Houston
3503,The Moran CITYCENTRE,29.780272699999998,-95.5613547,8607.026197825024,4.4,1644,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Energy Corridor/Katy Freeway,15111 Katy Freeway Houston
3503,Houston Community College - Spring Branch Campus,29.786395100000004,-95.56071229999999,8663.105572775617,3.5,195,"university,point_of_interest,establishment",Fairfield Inn & Suites Houston Energy Corridor/Katy Freeway,15111 Katy Freeway Houston
3503,Embassy Suites by Hilton Houston Energy Corridor,29.786214299999997,-95.5923325,5612.93875140876,4.4,1879,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Energy Corridor/Katy Freeway,15111 Katy Freeway Houston
3503,Embassy Suites by Hilton Houston West - Katy,29.7838234,-95.66783319999999,1678.9312556098812,4.5,1553,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Energy Corridor/Katy Freeway,15111 Katy Freeway Houston
3503,Memorial Hermann Memorial City Medical Center,29.780343,-95.5469103,9999.337539594115,2.6,699,"hospital,health,point_of_interest,establishment",Fairfield Inn & Suites Houston Energy Corridor/Katy Freeway,15111 Katy Freeway Houston
3503,United States Postal Service,29.7903028,-95.7276736,7486.761563988852,1.5,807,"post_office,local_government_office,finance,point_of_interest,establishment",Fairfield Inn & Suites Houston Energy Corridor/Katy Freeway,15111 Katy Freeway Houston
3503,Masjid ElFarouq,29.7887526,-95.5494021,9764.772368115915,4.8,554,"mosque,place_of_worship,point_of_interest,establishment",Fairfield Inn & Suites Houston Energy Corridor/Katy Freeway,15111 Katy Freeway Houston
3503,West Oaks Mall,29.732390199999994,-95.64873560000001,5738.096601036048,3.5,3065,"shopping_mall,point_of_interest,establishment",Fairfield Inn & Suites Houston Energy Corridor/Katy Freeway,15111 Katy Freeway Houston
3503,Gangnam Spa Healing Paradise,29.832537499999997,-95.64637739999999,5414.31219437763,4.4,1662,"spa,health,point_of_interest,establishment",Fairfield Inn & Suites Houston Energy Corridor/Katy Freeway,15111 Katy Freeway Houston
3504,William P. Hobby Airport,29.6459141,-95.27689509999999,2579.1710733774494,4.4,11024,"airport,point_of_interest,establishment",Fairfield Inn & Suites Houston Hobby Airport,8730 Gulf Freeway Houston
3504,Houston Botanic Garden,29.687458399999993,-95.2687278,2774.059949762305,4.5,1134,"tourist_attraction,park,point_of_interest,establishment",Fairfield Inn & Suites Houston Hobby Airport,8730 Gulf Freeway Houston
3504,Almeda Mall,29.622942300000002,-95.2278291,5489.960037852342,4.0,5041,"shopping_mall,point_of_interest,establishment",Fairfield Inn & Suites Houston Hobby Airport,8730 Gulf Freeway Houston
3504,Texas Department of Public Safety Driver License Mega Center,29.6120662,-95.1891174,8928.008726217855,3.6,2124,"local_government_office,point_of_interest,establishment",Fairfield Inn & Suites Houston Hobby Airport,8730 Gulf Freeway Houston
3504,HCA Houston Healthcare Southeast,29.661497899999997,-95.1837719,7352.236184848511,3.9,2226,"hospital,point_of_interest,health,establishment",Fairfield Inn & Suites Houston Hobby Airport,8730 Gulf Freeway Houston
3504,Houston Marriott South at Hobby Airport,29.6573466,-95.25650569999999,779.8691573473812,4.2,1969,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Hobby Airport,8730 Gulf Freeway Houston
3504,Hilton University of Houston,29.7187066,-95.34152809999999,9982.429049044458,4.4,1168,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Hobby Airport,8730 Gulf Freeway Houston
3504,Social Security Administration,29.662914499999996,-95.18043829999999,7670.602862273385,3.0,426,"local_government_office,point_of_interest,establishment",Fairfield Inn & Suites Houston Hobby Airport,8730 Gulf Freeway Houston
3504,Hobby Airport,29.655340000000002,-95.27577,1802.2437809729715,4.5,120,"bus_stop,transit_station,point_of_interest,establishment",Fairfield Inn & Suites Houston Hobby Airport,8730 Gulf Freeway Houston
3504,Smither Park,29.7167608,-95.3246374,8599.92962162489,4.7,1621,"park,tourist_attraction,point_of_interest,establishment",Fairfield Inn & Suites Houston Hobby Airport,8730 Gulf Freeway Houston
3504,The Ritz,29.6399714,-95.2432159,3092.0090795587234,4.4,406,"night_club,bar,point_of_interest,establishment",Fairfield Inn & Suites Houston Hobby Airport,8730 Gulf Freeway Houston
3504,Gulfgate Center,29.697970299999998,-95.29654629999999,5203.300294336574,4.3,8657,"shopping_mall,point_of_interest,establishment",Fairfield Inn & Suites Houston Hobby Airport,8730 Gulf Freeway Houston
3504,DoubleTree by Hilton Hotel Houston Hobby Airport,29.659140400000002,-95.2683778,972.3935372552393,4.2,1672,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Hobby Airport,8730 Gulf Freeway Houston
3504,El Franco Lee Park,29.596015100000002,-95.25057059999999,7583.719278945949,4.5,1412,"park,tourist_attraction,point_of_interest,establishment",Fairfield Inn & Suites Houston Hobby Airport,8730 Gulf Freeway Houston
3504,Home2 Suites by Hilton Houston Pasadena,29.632741999999997,-95.170549,9290.035932301935,4.4,750,"hotel,extended_stay_hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Hobby Airport,8730 Gulf Freeway Houston
3504,Forest Park Lawndale Funeral Home & Forest Park Lawndale,29.720266100000003,-95.30510459999999,7657.585909927071,4.1,308,"funeral_home,cemetery,park,point_of_interest,establishment",Fairfield Inn & Suites Houston Hobby Airport,8730 Gulf Freeway Houston
3504,Hilton Garden Inn Houston Hobby Airport,29.653500899999997,-95.26432319999999,1219.0264831893924,4.4,772,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Hobby Airport,8730 Gulf Freeway Houston
3504,Barnett Sports Complex,29.6922779,-95.306759,5534.642805956126,4.1,433,"stadium,event_venue,sports_complex,point_of_interest,establishment",Fairfield Inn & Suites Houston Hobby Airport,8730 Gulf Freeway Houston
3504,St. Luke's Health,29.6411639,-95.16210869999999,9770.183735294255,4.0,703,"hospital,point_of_interest,health,establishment",Fairfield Inn & Suites Houston Hobby Airport,8730 Gulf Freeway Houston
3504,King Best Mall,29.697956500000004,-95.3396437,8598.890164741122,4.1,1499,"shopping_mall,cell_phone_store,shoe_store,jewelry_store,clothing_store,electronics_store,auto_parts_store,car_repair,store,point_of_interest,establishment",Fairfield Inn & Suites Houston Hobby Airport,8730 Gulf Freeway Houston
3505,George Bush Intercontinental Airport,29.993105800000002,-95.34162549999999,7785.960719778877,4.1,33370,"airport,point_of_interest,establishment",Fairfield Inn & Suites Houston Humble,20525 Highway 59 Humble
3505,Deerbrook Mall,30.0094843,-95.2702395,803.1627756821093,4.3,11343,"shopping_mall,point_of_interest,establishment",Fairfield Inn & Suites Houston Humble,20525 Highway 59 Humble
3505,HCA Houston Healthcare Kingwood,30.049860199999998,-95.25533519999999,3985.5438839098415,3.8,3088,"hospital,health,point_of_interest,establishment",Fairfield Inn & Suites Houston Humble,20525 Highway 59 Humble
3505,Houston Interactive Aquarium & Animal Preserve,29.938165599999998,-95.3116683,9659.368667376113,4.4,2991,"zoo,aquarium,point_of_interest,establishment",Fairfield Inn & Suites Houston Humble,20525 Highway 59 Humble
3505,Houston Airport Marriott at George Bush Intercontinental,29.986655599999995,-95.34203769999999,8075.594054941439,4.3,2970,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Humble,20525 Highway 59 Humble
3505,Memorial Hermann Northeast Hospital,29.995708099999998,-95.27622749999999,2407.3380045624167,2.5,563,"hospital,health,point_of_interest,establishment",Fairfield Inn & Suites Houston Humble,20525 Highway 59 Humble
3505,Bush IAH Terminal C,29.986028999999995,-95.33794499999999,7742.910682115519,4.0,168,"bus_stop,transit_station,point_of_interest,establishment",Fairfield Inn & Suites Houston Humble,20525 Highway 59 Humble
3505,Lone Star College-Kingwood,30.053962199999994,-95.2613604,4348.566635742585,3.6,167,"university,point_of_interest,establishment",Fairfield Inn & Suites Houston Humble,20525 Highway 59 Humble
3505,Porky's Backyard Food Truck Park,29.9872123,-95.1976992,7161.859735478557,4.4,766,"bar,park,restaurant,food,point_of_interest,establishment",Fairfield Inn & Suites Houston Humble,20525 Highway 59 Humble
3505,Sheraton North Houston at George Bush Intercontinental,29.945380600000004,-95.33051359999999,9996.039545072956,4.1,2530,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Humble,20525 Highway 59 Humble
3505,Ramada by Wyndham Houston Intercontinental Airport East,29.9847729,-95.3003676,4795.54814728929,3.4,2133,"hotel,motel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Humble,20525 Highway 59 Humble
3505,Lindsay/Lyons Park and Sports Complex,29.9625417,-95.2304434,6703.764775425148,4.4,1331,"park,tourist_attraction,point_of_interest,establishment",Fairfield Inn & Suites Houston Humble,20525 Highway 59 Humble
3505,Old MacDonald's Farm,30.0003521,-95.2253126,4136.0901783402705,4.3,2403,"tourist_attraction,amusement_center,point_of_interest,establishment",Fairfield Inn & Suites Houston Humble,20525 Highway 59 Humble
3505,Houston Airport Systems - IAH Electrical,29.9827755,-95.322138,6579.515666315024,3.4,19,"airport,consultant,point_of_interest,establishment",Fairfield Inn & Suites Houston Humble,20525 Highway 59 Humble
3505,Jesse H. Jones Park & Nature Center,30.027725399999998,-95.29829769999999,3522.186956309011,4.7,2787,"park,tourist_attraction,point_of_interest,establishment",Fairfield Inn & Suites Houston Humble,20525 Highway 59 Humble
3505,The Clubs of Kingwood - Kingwood Clubhouse,30.037929499999994,-95.197362,6977.387380180502,4.5,468,"golf_course,amusement_park,wedding_venue,fitness_center,swimming_pool,gym,athletic_field,spa,event_venue,sports_complex,health,point_of_interest,establishment",Fairfield Inn & Suites Houston Humble,20525 Highway 59 Humble
3505,George Bush Int.,29.9895255,-95.3383436,7625.085329802723,2.9,97,"airport,point_of_interest,establishment",Fairfield Inn & Suites Houston Humble,20525 Highway 59 Humble
3505,Balmoral Crystal Clear Lagoon & Beach Club,29.9516772,-95.20742369999999,8948.737415750498,4.0,434,"community_center,amusement_park,event_venue,point_of_interest,establishment",Fairfield Inn & Suites Houston Humble,20525 Highway 59 Humble
3505,"Holiday Inn Houston NE - Bush Airport Area, an IHG Hotel",29.9870553,-95.2966641,4363.731278704189,4.2,769,"hotel,wedding_venue,event_venue,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Humble,20525 Highway 59 Humble
3505,Cosmic Air Adventure Park & Arcade,30.0037004,-95.2641396,1254.6696511538041,4.7,971,"amusement_park,playground,event_venue,sports_complex,point_of_interest,establishment",Fairfield Inn & Suites Houston Humble,20525 Highway 59 Humble
3506,George Bush Intercontinental Airport,29.993105800000002,-95.34162549999999,6381.333806766862,4.1,33370,"airport,point_of_interest,establishment",Fairfield Inn & Suites Houston Intercontinental Airport,4025 Interwood North Parkway Houston
3506,Deerbrook Mall,30.0094843,-95.2702395,9856.457688369588,4.3,11343,"shopping_mall,point_of_interest,establishment",Fairfield Inn & Suites Houston Intercontinental Airport,4025 Interwood North Parkway Houston
3506,Houston Interactive Aquarium & Animal Preserve,29.938165599999998,-95.3116683,1658.852484556425,4.4,2991,"zoo,aquarium,point_of_interest,establishment",Fairfield Inn & Suites Houston Intercontinental Airport,4025 Interwood North Parkway Houston
3506,Houston Airport Marriott at George Bush Intercontinental,29.986655599999995,-95.34203769999999,5688.117287131985,4.3,2970,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Intercontinental Airport,4025 Interwood North Parkway Houston
3506,Memorial Hermann Northeast Hospital,29.995708099999998,-95.27622749999999,8280.305944389487,2.5,563,"hospital,point_of_interest,health,establishment",Fairfield Inn & Suites Houston Intercontinental Airport,4025 Interwood North Parkway Houston
3506,Escapade 2001,29.896763000000004,-95.318702,4557.395516663726,4.0,685,"night_club,bar,point_of_interest,establishment",Fairfield Inn & Suites Houston Intercontinental Airport,4025 Interwood North Parkway Houston
3506,Bush IAH Terminal C,29.986028999999995,-95.33794499999999,5544.16706101911,4.0,168,"bus_stop,transit_station,point_of_interest,establishment",Fairfield Inn & Suites Houston Intercontinental Airport,4025 Interwood North Parkway Houston
3506,Lone Star College-North Harris,30.0044641,-95.3823157,9119.734079863243,3.8,289,"university,point_of_interest,establishment",Fairfield Inn & Suites Houston Intercontinental Airport,4025 Interwood North Parkway Houston
3506,Hilton Houston North,29.946911800000002,-95.40689320000001,7607.01322935354,4.1,2937,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Intercontinental Airport,4025 Interwood North Parkway Houston
3506,Sheraton North Houston at George Bush Intercontinental,29.945380600000004,-95.33051359999999,968.0009625864691,4.1,2530,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Intercontinental Airport,4025 Interwood North Parkway Houston
3506,Social Security Administration,29.901767399999997,-95.3098977,4300.945752116625,3.1,343,"local_government_office,point_of_interest,establishment",Fairfield Inn & Suites Houston Intercontinental Airport,4025 Interwood North Parkway Houston
3506,Houston Marriott North,29.941954,-95.403882,7256.17208092534,4.1,2240,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Intercontinental Airport,4025 Interwood North Parkway Houston
3506,Bucks Wild,29.938174199999995,-95.3964396,6518.303191867202,4.3,472,"night_club,bar,point_of_interest,establishment",Fairfield Inn & Suites Houston Intercontinental Airport,4025 Interwood North Parkway Houston
3506,Ramada by Wyndham Houston Intercontinental Airport East,29.9847729,-95.3003676,5996.879929996834,3.4,2133,"hotel,motel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Intercontinental Airport,4025 Interwood North Parkway Houston
3506,Hyatt Place Houston-North,29.942121099999994,-95.4004588,6928.959656126583,3.5,1186,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Intercontinental Airport,4025 Interwood North Parkway Houston
3506,DoubleTree by Hilton Hotel Houston Intercontinental Airport,29.946559499999996,-95.3326444,1146.2197791024869,4.2,2202,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Intercontinental Airport,4025 Interwood North Parkway Houston
3506,Lindsay/Lyons Park and Sports Complex,29.9625417,-95.2304434,9900.200326211438,4.4,1331,"park,tourist_attraction,point_of_interest,establishment",Fairfield Inn & Suites Houston Intercontinental Airport,4025 Interwood North Parkway Houston
3506,Stampede Houston,29.897919800000004,-95.31866169999999,4432.678933948074,4.0,384,"night_club,event_venue,bar,point_of_interest,establishment",Fairfield Inn & Suites Houston Intercontinental Airport,4025 Interwood North Parkway Houston
3506,Universal Technical Institute,29.9904135,-95.4121181,9997.094879383345,4.3,571,"university,school,point_of_interest,establishment",Fairfield Inn & Suites Houston Intercontinental Airport,4025 Interwood North Parkway Houston
3506,Houston Airport Systems - IAH Electrical,29.9827755,-95.322138,5152.399527502692,3.4,19,"airport,consultant,point_of_interest,establishment",Fairfield Inn & Suites Houston Intercontinental Airport,4025 Interwood North Parkway Houston
3507,Katy Mills,29.7728333,-95.8092162,8767.206581496937,4.4,17836,"shopping_mall,point_of_interest,establishment",Fairfield Inn & Suites Houston Katy,22100 Grand Corner Drive Katy
3507,LaCenterra at Cinco Ranch,29.7429973,-95.77505959999999,4590.200275254011,4.6,5914,"shopping_mall,point_of_interest,establishment",Fairfield Inn & Suites Houston Katy,22100 Grand Corner Drive Katy
3507,Memorial Hermann Katy Hospital,29.7875539,-95.78641019999999,9653.334354384098,2.7,565,"hospital,health,point_of_interest,establishment",Fairfield Inn & Suites Houston Katy,22100 Grand Corner Drive Katy
3507,Andretti Indoor Karting & Games Katy,29.788801499999998,-95.76962639999999,9649.397980706764,4.1,2283,"amusement_center,amusement_park,event_venue,point_of_interest,establishment",Fairfield Inn & Suites Houston Katy,22100 Grand Corner Drive Katy
3507,Typhoon Texas Waterpark Houston,29.7794714,-95.80359589999999,9227.204525553094,4.3,5852,"swimming_pool,amusement_park,sports_complex,point_of_interest,establishment",Fairfield Inn & Suites Houston Katy,22100 Grand Corner Drive Katy
3507,Slick City - Katy,29.7756272,-95.8093634,9053.289654547589,4.2,1119,"playground,amusement_center,amusement_park,point_of_interest,establishment",Fairfield Inn & Suites Houston Katy,22100 Grand Corner Drive Katy
3507,Whiskey River West,29.699460199999994,-95.75929459999999,1005.6825885861745,4.2,474,"night_club,bar,point_of_interest,establishment",Fairfield Inn & Suites Houston Katy,22100 Grand Corner Drive Katy
